pop  Allele Marker1 Marker2 Marker3 Marker4 Marker5 Marker6 Marker7 Marker8 Marker9 Marker10 Marker11 Marker12 Marker13 Marker14 Marker15 Marker16 Marker17 Marker18	Marker19 Marker20 Marker21 Marker22 Marker23 Marker24 Marker25 Marker26 Marker27 Marker28 Marker29 Marker30 Marker31 Marker32 Marker33 Marker34 Marker35	Marker36 Marker37 Marker38 Marker39 Marker40 Marker41 Marker42 Marker43 Marker44 Marker45 Marker46 Marker47 Marker48 Marker49 Marker50 Marker51 Marker52 Marker53 Marker54 Marker55 Marker56 Marker57 Marker58 Marker59 Marker60 Marker61 Marker62 Marker63 Marker64 Marker65 Marker66 Marker67 Marker68 Marker69	Marker70 Marker71 Marker72 Marker73 Marker74 Marker75 Marker76 Marker77 Marker78 Marker79 Marker80 Marker81 Marker82 Marker83 Marker84 Marker85 Marker86	Marker87 Marker88 Marker89 Marker90 Marker91 Marker92 Marker93 Marker94 Marker95 Marker96 Marker97 Marker98 Marker99 Marker100 Marker101 Marker102 Marker103 Marker104 Marker105 Marker106 Marker107 Marker108 Marker109 Marker110 Marker111 Marker112 Marker113 Marker114 Marker115 Marker116 Marker117 Marker118 Marker119 Marker120 Marker121 Marker122 Marker123 Marker124 Marker125 Marker126 Marker127 Marker128 Marker129 Marker130		
pop6      1   0.300   0.810  0.0130   0.520   0.260   0.870   0.200   0.240   0.960   0.9900    0.970    0.680    0.910    0.140    0.790    0.450     0.29   0.3600	0.140     0.30    0.035    0.081     0.41    0.330    0.500    0.320     0.28     0.38   0.9000    0.420    0.570    0.650    0.760    0.053    0.330	  0.980    0.990   0.1300    0.620     0.28   0.9100    0.430    0.990    0.830    0.860     0.31    0.370    0.910    0.150    0.035   0.1800    0.270	    0.780     0.81    0.810    0.019     0.21    0.920    0.140    0.270    0.450    0.620    0.960    0.110    0.540    0.055   0.9200    0.950    0.720   0.830   0.1200    0.550   0.9800    1.000     0.59    0.390    0.350     0.68    0.180    0.920    0.890    0.490    0.970    0.320    0.230    0.860	0.38   0.6300    0.520    0.690   0.4400    0.710    0.720    0.220     0.64    0.280    0.510    0.750    0.390     0.700     0.880      0.84    0.9300	0.64    0.0034    0.5200     0.870      0.44     0.039     0.051     0.920     0.022      0.50     0.800     0.760     0.180     0.360     0.530     0.850	  0.890    0.0590     0.220     0.120     0.470    1.0000     0.730      0.58     0.420     0.820     0.420
pop6      2   0.700   0.190  0.9900   0.480   0.740   0.130   0.800   0.760   0.043   0.0064    0.031    0.320    0.093    0.860    0.210    0.550     0.71   0.6400	0.860     0.70    0.960    0.920     0.59    0.670    0.500    0.680     0.72     0.62   0.0990    0.580    0.430    0.350    0.240    0.950    0.670	  0.017    0.012   0.8700    0.380     0.72   0.0870    0.570    0.014    0.170    0.140     0.69    0.630    0.094    0.850    0.960   0.8200    0.730	    0.220     0.19    0.190    0.980     0.79    0.078    0.860    0.730    0.550    0.380    0.035    0.890    0.460    0.940   0.0820    0.045    0.280   0.170   0.8800    0.450   0.0200    0.003     0.41    0.610    0.650     0.32    0.820    0.084    0.110    0.510    0.028    0.680    0.770    0.140	0.62   0.3700    0.480    0.310   0.5600    0.290    0.280    0.780     0.36    0.720    0.490    0.250    0.610     0.300     0.120      0.16    0.0720	0.36    1.0000    0.4800     0.130      0.56     0.960     0.950     0.077     0.980      0.50     0.200     0.240     0.820     0.640     0.470     0.150	  0.110    0.9400     0.780     0.880     0.530    0.0018     0.270      0.42     0.580     0.180     0.580
pop7      1   0.740   0.650  0.3000   0.180   0.470   0.570   0.660   0.930   0.700   0.4400    0.190    0.950    0.640    0.580    0.025    0.690     0.65   0.1200	0.630     0.54    0.620    0.720     0.65    0.890    0.440    0.320     0.83     0.48   0.1900    0.600    0.700    0.450    0.750    0.079    0.062	  0.600    0.310   0.9800    0.095     0.87   0.0300    0.250    0.110    0.010    0.240     0.67    0.066    0.300    0.930    0.730   0.2800    0.190	    0.590     0.09    0.160    0.420     0.66    0.017    0.720    0.140    0.180    0.029    0.096    0.960    0.480    0.006   0.9900    0.860    0.400   0.240   0.8000    0.140   0.2700    0.110     0.35    0.120    0.790     0.16    0.870    0.860    0.180    0.590    0.640    0.028    0.280    0.570	0.50   0.2400    0.250    0.400   0.9500    0.530    0.430    0.770     0.62    0.590    0.770    0.084    0.860     0.980     0.800      0.12    0.5300	0.82    0.2000    0.4000     0.490      0.31     0.940     0.790     0.800     0.370      0.87     0.180     0.230     0.260     0.150     0.630     0.640	  0.120    0.7700     0.530     0.600     0.026    0.9000     0.130      0.54     0.660     0.370     0.660
pop7      2   0.260   0.350  0.7000   0.820   0.530   0.430   0.340   0.072   0.300   0.5600    0.810    0.047    0.360    0.420    0.980    0.310     0.35   0.8800	0.370     0.46    0.380    0.280     0.35    0.110    0.560    0.680     0.17     0.52   0.8100    0.400    0.300    0.550    0.250    0.920    0.940	  0.400    0.690   0.0200    0.900     0.13   0.9700    0.750    0.890    0.990    0.760     0.33    0.930    0.700    0.071    0.270   0.7200    0.810	    0.410     0.91    0.840    0.580     0.34    0.980    0.280    0.860    0.820    0.970    0.900    0.044    0.520    0.990   0.0092    0.140    0.600   0.760   0.2000    0.860   0.7300    0.890     0.65    0.880    0.210     0.84    0.130    0.140    0.820    0.410    0.360    0.970    0.720    0.430	0.50   0.7600    0.750    0.600   0.0550    0.470    0.570    0.230     0.38    0.410    0.230    0.920    0.140     0.017     0.200      0.88    0.4700	0.18    0.8000    0.6000     0.510      0.69     0.061     0.210     0.200     0.630      0.13     0.820     0.770     0.740     0.850     0.370     0.360	  0.880    0.2300     0.470     0.400     0.970    0.1000     0.870      0.46     0.340     0.630     0.340
pop8      1   0.450   0.500  0.2200   0.480   0.130   0.550   0.087   0.960   0.130   0.0460    0.460    0.450    0.370    0.830    0.870    0.220     0.16   0.6800	0.650     0.84    0.970    0.900     0.13    0.330    0.460    0.860     0.37     0.90   0.7600    0.110    0.820    0.960    0.230    0.990    0.087	  0.380    0.630   0.3800    0.140     0.72   0.2600    0.660    0.130    0.740    0.250     0.39    0.500    0.750    0.730    0.140   0.4600    0.380	    0.046     0.90    0.110    0.073     0.35    0.940    0.560    0.100    0.800    0.760    0.780    0.190    0.850    0.420   0.0770    0.650    0.660   0.570   0.4800    0.047   0.0038    0.510     0.78    0.600    0.190     0.86    0.190    0.890    0.710    0.550    0.450    0.270    0.280    0.610	0.36   0.4400    0.740    0.500   0.2500    0.830    0.320    0.650     0.76    0.370    0.640    0.430    0.720     0.570     0.095      0.45    0.0330	0.67    0.4900    0.7600     0.081      0.40     0.290     0.570     0.880     0.440      0.39     0.380     0.150     0.660     0.470     0.380     0.410	  0.190    0.6200     0.850     0.250     0.470    0.0410     0.770      0.74     0.220     0.630     0.058
pop8      2   0.550   0.500  0.7800   0.520   0.870   0.450   0.910   0.043   0.870   0.9500    0.540    0.550    0.630    0.170    0.130    0.780     0.84   0.3200	0.350     0.16    0.032    0.097     0.87    0.670    0.540    0.140     0.63     0.10   0.2400    0.890    0.180    0.043    0.770    0.006    0.910	  0.620    0.370   0.6200    0.860     0.28   0.7400    0.340    0.870    0.260    0.750     0.61    0.500    0.250    0.270    0.860   0.5400    0.620	    0.950     0.10    0.890    0.930     0.65    0.060    0.440    0.900    0.200    0.240    0.220    0.810    0.150    0.580   0.9200    0.350    0.340   0.430   0.5200    0.950   1.0000    0.490     0.22    0.400    0.810     0.14    0.810    0.110    0.290    0.450    0.550    0.730    0.720    0.390	0.64   0.5600    0.260    0.500   0.7500    0.170    0.680    0.350     0.24    0.630    0.360    0.570    0.280     0.430     0.900      0.55    0.9700	0.33    0.5100    0.2400     0.920      0.60     0.710     0.430     0.120     0.560      0.61     0.620     0.850     0.340     0.530     0.620     0.590	  0.810    0.3800     0.150     0.750     0.530    0.9600     0.230      0.26     0.780     0.370     0.940
pop9      1   0.780   0.044  0.4200   0.880   0.025   0.690   0.580   0.590   0.014   0.1200    0.860    0.210    0.390    0.970    0.740    0.960     0.69   0.9900	0.880     0.13    0.960    0.970     0.66    0.750    0.810    0.960     0.34     0.05   0.8300    0.061    0.630    0.310    0.830    0.150    0.650	  0.085    0.074   0.8700    0.490     0.58   0.5400    0.750    0.740    0.530    0.019     0.72    0.200    0.110    0.660    0.290   0.0550    0.670	    0.610     0.39    0.820    0.380     0.84    0.150    0.240    0.360    0.094    0.290    0.450    0.100    0.330    0.079   0.5100    0.600    0.270   0.730   0.8500    0.870   0.8000    0.600     0.13    0.220    0.230     0.33    0.790    0.680    0.570    0.770    0.350    0.500    0.610    0.024	0.59   0.2900    0.860    0.950   0.8300    0.097    0.380    0.920     0.37    0.140    0.930    0.530    0.570     0.230     0.070      0.45    0.8400	0.64    0.5000    1.0000     0.440      0.66     0.320     0.400     0.130     0.150      0.42     0.580     0.780     0.310     0.810     0.570     0.300	  0.790    0.0034     0.390     0.690     0.850    0.0300     0.920      0.23     0.700     0.200     0.790
pop9      2   0.220   0.960  0.5800   0.120   0.980   0.310   0.420   0.410   0.990   0.8800    0.140    0.790    0.610    0.034    0.260    0.036     0.31   0.0091	0.120     0.87    0.044    0.026     0.34    0.250    0.190    0.037     0.66     0.95   0.1700    0.940    0.370    0.690    0.170    0.850    0.350	  0.910    0.930   0.1300    0.510     0.42   0.4600    0.250    0.260    0.470    0.980     0.28    0.800    0.890    0.340    0.710   0.9500    0.330	    0.390     0.61    0.180    0.620     0.16    0.850    0.760    0.640    0.910    0.710    0.550    0.900    0.670    0.920   0.4900    0.400    0.730   0.270   0.1500    0.130   0.2000    0.400     0.87    0.780    0.770     0.67    0.210    0.320    0.430    0.230    0.650    0.500    0.390    0.980	0.41   0.7100    0.140    0.052   0.1700    0.900    0.620    0.081     0.63    0.860    0.068    0.470    0.430     0.770     0.930      0.55    0.1600	0.36    0.5000    0.0031     0.560      0.34     0.680     0.600     0.870     0.850      0.58     0.420     0.220     0.690     0.190     0.430     0.700	  0.210    1.0000     0.610     0.310     0.150    0.9700     0.083      0.77     0.300     0.800     0.210
pop10      1   0.640   0.140  0.4000   0.035   0.740   0.650   0.780   0.310   0.660   0.2700    0.270    0.450    0.470    0.210    0.300    0.560     0.61   0.7300	0.710     0.90    0.075    0.390     0.77    0.160    0.200    0.550     0.56     0.14   0.0060    0.750    0.800    0.780    0.940    0.370    0.600	  0.790    0.450   0.9900    0.810     0.58   0.1900    0.160    0.110    0.360    0.079     0.86    0.970    0.860    0.450    0.630   0.5700    0.980	    0.280     0.23    0.580    0.800     0.64    0.098    0.940    0.900    0.140    0.950    0.110    0.580    0.750    0.390   0.4700    0.290    0.210   0.580   0.8000    0.930   0.0260    0.890     0.13    0.013    0.061     0.37    0.200    0.770    0.230    0.260    0.560    0.990    0.770    0.250	0.59   0.9100    0.770    0.280   0.0054    0.920    0.800    0.014     0.43    0.930    0.280    0.140    0.080     0.270     0.750      0.57    0.0095	0.82    0.4800    0.9000     0.100      0.33     0.430     0.250     0.500     0.870      0.61     0.940     0.310     0.990     0.780     0.610     0.360	  0.340    0.3400     0.140     0.420     0.280    0.1600     0.530      0.89     0.960     0.180     0.370
pop10      2   0.360   0.860  0.6000   0.970   0.260   0.350   0.220   0.690   0.340   0.7300    0.730    0.550    0.530    0.790    0.700    0.440     0.39   0.2700	0.290     0.10    0.930    0.610     0.23    0.840    0.800    0.450     0.44     0.86   0.9900    0.250    0.200    0.220    0.059    0.630    0.400	  0.210    0.550   0.0087    0.190     0.42   0.8100    0.840    0.890    0.640    0.920     0.14    0.027    0.140    0.550    0.370   0.4300    0.022	    0.720     0.77    0.420    0.200     0.36    0.900    0.056    0.096    0.860    0.055    0.890    0.420    0.250    0.610   0.5300    0.710    0.790   0.420   0.2000    0.068   0.9700    0.110     0.87    0.990    0.940     0.63    0.800    0.230    0.770    0.740    0.440    0.015    0.230    0.750	0.41   0.0870    0.230    0.720   0.9900    0.076    0.200    0.990     0.57    0.066    0.720    0.860    0.920     0.730     0.250      0.43    0.9900	0.18    0.5200    0.0970     0.900      0.67     0.570     0.750     0.500     0.130      0.39     0.061     0.690     0.015     0.220     0.390     0.640	  0.660    0.6600     0.860     0.580     0.720    0.8400     0.470      0.11     0.037     0.820     0.630
